Dias;Resultado
86;1
86;1
86;1
86;1
86;1
86;1
86;1
86;1
86;1
86;1
86;1
86;1
86;1
87;1
87;1
87;1
87;1
87;0
87;1
87;1
87;1
87;1
87;1
87;1
87;1
87;1
90;1
90;1
90;1
90;1
90;1
90;1
90;1
90;1
90;1
90;1
90;1
90;1
91;1
